FullName,LaunchDate,ShortName,Base,MPA,SFP,QSFP,10GBASET,CFP,InHouseAsic,CommercialAsic,CPUType,Prompt,PSUNumber,SSDEUSB,ProductNumber,MUX,Retimer,Memory,NIC,Slot,BootImage,EndOfLife
Moena,01/01/2016,MOEN,N/A,N/A,N/A,36,N/A,N/A,NORTHSTAR x 2,TD2 x 2,N/A,MOEN,N/A,N/A,N9K-X9536PQ,Y,N,N/A,N/A,N/A,diag-lc-arm,02/01/2018
Montage,01/01/2016,MONT,N/A,N/A,N/A,100G x 32,N/A,N/A,N/A,TH x 2,N/A,MONT,N/A,N/A,N9K-X9632PC-QSFP100,N,N,N/A,N/A,N/A,diag-lc-arm,N/A
Montage+,01/01/2016,MONT,N/A,N/A,N/A,100G x 32,N/A,N/A,N/A,TH x 2,N/A,MONT,N/A,N/A,N9K-X9632PC-QSFP100,N,N,N/A,N/A,N/A,diag-lc-arm,N/A
NAGNO,01/01/2016,NAGN,Y,N,NA,NA,96,NA,NA,TD2 x 1,N/A,NGNO,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,10/30/2017
NANOOK-02,01/01/2016,NOOK/NOOK2,Y,Y,2,64 x 40 G,NA,NA,NA,TH x 1,CN61108TC-V/N3K-C3264Q,NOOK,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
NIAGARA FALL,01/01/2016,NGF,N,N,N/A,32,N/A,N/A,N/A,TD2+,N/A,KKK1-NGFL,2,EUSB,N/A,N/A,N/A,N/A,N/A,N/A,diag-n3k-x86_64,N/A
Neptune,01/01/2016,NEPT,N,N,N/A,32,N/A,N/A,N/A,T2,N/A,NEPTUNE,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-nep-4.1.0.57.bin,N/A
Neptune_cr2,01/01/2016,NEPTCR2,N,N,N/A,32,N/A,N/A,N/A,T2,N/A,NEPTUNE_CR2,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-nep-4.1.0.57.bin,N/A
OSLO,01/01/2016,OSLO,Y,N,48,6,NA,NA,DONNER x 1,TD2 x 1,NA,OSLO,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
PARIS,01/01/2016,PARIS,Y,N,48,6,NA,NA,NA,TD2+ x1,N3K-C31108PC-V,PARI,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
PipeDream,01/01/2016,PIDM,Y,N,4,2,48,NA,Homewood x1,NA,N9K-C9348GC-FXP,PIDM,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
QI2XL2,01/01/2016,QI2XL2,N,N,48,6,N/A,N/A,N/A,TD2,N/A,QUICKIRON2_CR,2,EUSB,N/A,N/A,N/A,N/A,N/A,N/A,diag-nep-4.1.0.57.bin,N/A
QZ2XL1,01/01/2016,QZ2CR1,N,N,48,6,N/A,N/A,N/A,TD2,N/A,QUICKZINC2,2,EUSB,N/A,N/A,N/A,N/A,N/A,N/A,diag-nep-4.1.0.57.bin,N/A
QuickIron2_CR,01/01/2016,QI2CR,N,N,N/A,6,48,N/A,N/A,T2,N/A,QUICKIRON2_CR,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,diag-nep-4.1.0.57.bin,N/A
QuickZinc2,01/01/2016,QKZK2,N,N,48,6,N/A,N/A,N/A,T2,N/A,QUICKZINC2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,diag-nep-4.1.0.57.bin,N/A
REDMOND-2,01/01/2016,RED,Y,N,NA,64,NA,NA,NA,TD2 x 6,NA,SAHA,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
Redcastle,05/10/2017,RDCT,Y,N,2,36x100GB,2,NA,NA,Jericho+,REDCASTLECPU,RDCT,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Redlake,07/07/2017,RDLK,N/A,N/A,N/A,100x32,N/A,N/A,HOMEWOODx4,N/A,N/A,RDLK,N/A,N/A,N/A,N,N,N/A,N/A,N/A,diag-lc-atom,N/A
Redwood,01/01/2016,RDWD,N/A,N/A,N/A,100x32,N/A,N/A,SUGARBOWLx4,N/A,N/A,RDWD,N/A,N/A,N9K-X9732C-EXM,N,N,N/A,N/A,N/A,diag-lc-atom,N/A
SAPPORO,01/01/2016,SAPO,Y,N,NA,6,48,NA,DONNER x 1,TD2 x 1,NA,SAPR,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
